amazon_asin,amazon price,is_prime,in_stock,ebay_price,ebay_quantity,ebay_id
B000I1RQZ8,$4.17,True,True,6.34,1,263288530633
B000M8Q02M,$10.62,True,True,14.95,1,263288530644
B013X8N2C8,$22.99,True,True,31.83,1,263288530951
B003MVPQN0,$3.49,True,True,5.56,1,263288530958
B000F09CEA,$16.99,True,True,23.64,1,263288530968
B01E16SA9G,$11.98,True,True,16.81,1,263288531110
B0006OLG58,$10.40,True,True,14.65,1,263288531381
B000NVW1LM,$13.00,True,True,18.2,1,263288532119
B01967S720,$12.95,True,True,18.13,1,263288532128
B00005N9D3,$17.03,True,True,23.7,1,263288532151
B000RIZ9EW,$2.09,True,True,3.97,1,263288532257
B00GRSOJSS,$7.40,True,True,10.56,1,263288532285
B00466H6X8,$7.12,True,True,10.17,1,263288532318
B000FW62YQ,$6.37,True,True,9.15,1,263288532319
B00EUGCT22,$4.49,True,True,6.7,1,263288532415
B000ZZWNYG,$3.97,True,True,6.11,1,263288532423
B000I2079E,$3.98,True,True,6.12,1,263288532482
B000BPTVTK,$4.97,True,True,7.25,1,263288532486
B000HJBKMQ,$4.69,True,True,6.94,1,263288532745
B0019DEBS4,$11.72,True,True,16.45,1,263288532760
B01GJC4WRO,$7.99,True,True,11.36,1,263288533038
B000IYTCG6,$13.99,True,True,19.55,1,263288533069
B0051D3MP6,,,,,0,263288533170
B0010E00T6,$13.85,True,True,19.36,1,263288533223
B0084AWBRS,$5.99,True,True,8.63,1,263288533602
B014881T2C,$8.99,True,True,12.73,1,263288534267
B000087KUA,$23.44,True,True,32.44,1,263288534621
B000BXOGNI,$4.85,True,True,7.11,1,263288586278
133813437X,$6.17,True,True,8.88,1,263288586289
B00200EFJA,$2.98,True,True,4.99,1,263288586455
B00004RBDU,$5.21,True,True,7.57,1,263288586529
B000P1E7ZS,$7.79,True,True,11.09,1,263288587049
B01LX8GCZ5,$12.99,True,True,18.18,1,263288587131
B00631GSSI,$11.10,True,True,15.6,1,263288587308
B00004UDJX,$9.99,True,True,14.09,1,263288587482
B00416DLOQ,$4.90,True,True,7.18,1,263288588020
B0002KKTT0,$9.60,True,True,13.56,1,263288588046
B0018NBUU2,$5.52,True,True,7.99,1,263288588058
B001E4E3KY,$3.59,True,True,5.68,1,263288588887
B000AL8VD2,$5.19,True,True,7.54,1,263288588944
B000BRQ0TW,$4.61,True,True,6.85,1,263288589885
B001Z3C3AG,$4.97,True,True,7.25,1,263288590302
B00H56KCUU,$5.24,True,True,7.61,1,263288624546
B00HFJWKWK,$29.99,True,True,41.38,1,263288626473
B000FW7VGE,$7.49,True,True,10.68,1,263288647866
B003542HE0,$4.99,True,True,7.27,1,263288648154
B005177XU2,$6.29,True,True,9.04,1,263288649203
B00ARKS3XO,$20.54,True,True,28.48,1,263288649481
B003IOITIK,,True,False,,0,263288739554
B0049VXDAU,$12.00,True,True,16.83,1,263288739996
B00APAQSP6,$26.99,True,True,37.29,1,263288740102
B00CC6XSSQ,$7.89,True,True,11.23,1,263288740617
B01N8PPY1H,,True,False,,0,263288740804
B004MMEHKQ,$2.98,True,True,4.99,1,263288740884
B00CHNK5WG,$6.33,True,True,9.1,1,263288741480
B004PEGF0G,$20.32,True,False,,0,263288741496
B00GMQUPO2,$11.25,True,True,15.81,1,263288741843
B0195NCJ8S,$12.49,True,True,17.5,1,263288742459
B000JKCY8M,$4.98,True,True,7.27,1,263288742513
B00HUC2VOO,$4.98,True,True,7.27,1,263288743000
B001DZNZZI,$3.49,True,True,5.56,1,263288743251
B006Z6E8AG,$5.99,True,True,8.63,1,263288743288
B00U6SAZN8,$2.99,True,True,5.0,1,263288743414
B019T65QXQ,$3.55,True,True,5.63,1,263288743646
B01GDZ5OKQ,$10.99,True,True,15.45,1,263288745024
B00L35DAWQ,$5.74,True,True,8.29,1,263293565971
B0002JN5PG,$5.25,True,True,7.62,1,263301790401
B001E5DLMY,$42.38,True,True,58.28,1,263301790594
B01ECA63ZE,$27.24,True,True,37.63,1,263301790728
B00JIHTCQ4,$53.88,True,True,73.97,1,263301790804
B00HEVD89S,$3.88,True,True,6.01,1,263301790951
B01MXPGELE,$9.99,True,True,14.09,1,263309803059
B01N79FL2U,,,,,0,263309804599
B01N2L22GF,,,,,0,263309805684
B01F53LP46,$26.74,True,True,36.94,1,263310905922
B074GR1KRT,$22.99,True,True,31.83,1,263310914612
B06VTV6QMY,$19.59,True,True,27.19,1,263310916272
B01A0R9PM6,$29.99,True,True,41.38,1,263310922103
B01FQFHXWQ,$29.99,True,True,41.38,1,263310923884
B074W8G8Q5,$108.99,True,True,149.17,1,263310925052
B00L8TT9T0,$7.28,True,True,10.39,1,263313345842
B000TG80WK,$4.14,True,True,6.3,1,263313346066
B000NMA4PG,$3.66,True,True,5.76,1,263313346418
B000CFLET4,$3.49,True,True,5.56,1,263313346634
B00FYZHVN0,$2.92,True,True,4.92,1,263313347627
B000LNSY5E,$5.19,True,True,7.54,1,263313349022
B00J06J4UM,$8.23,True,True,11.69,1,263313349304
B000KKPEBA,$6.69,True,True,9.59,1,263313350643
B06Y386HKG,$5.36,True,True,7.77,1,263313350996
B073XDS53V,$7.99,True,True,11.36,1,263313353538
B00DOS0K2I,$11.07,True,True,15.56,1,263313886287
B0033XW9N2,$4.43,True,True,6.63,1,263313886300
B003TUBKOI,$9.99,True,True,14.09,1,263313886449
B00BFRXH7K,$9.95,True,True,14.04,1,263313886548
B01FOQKBRQ,$8.95,True,True,12.67,1,263313886607
B01I5DTMHA,$11.95,True,True,16.76,1,263313886655
B005DMXUT8,$6.85,True,True,9.81,1,263313886759
B01MQD0LWU,,True,False,,0,263313887186
B0000C5398,$9.49,True,True,13.41,1,263313887212
B001MPY4ZO,$3.93,True,True,6.07,1,263313887245
B01F6KPR7Y,$5.20,True,True,7.55,1,263313887279
B01M2WS3BM,$9.99,True,True,14.09,1,263313887431
B0015TQWA2,$10.90,True,True,15.33,1,263313887823
B00ZCIQKKO,$8.45,True,True,11.99,1,263313887928
B00MB1W8W4,$9.60,True,True,13.56,1,263313888185
B075NGNBJC,$4.99,True,True,7.27,1,263313888517
B011BDJE4W,,True,False,,0,263313888535
B0051MYL8E,$5.99,True,True,8.63,1,263313888592
B008X4474K,$10.30,True,True,14.51,1,263313888660
B06XR4WSH5,$11.99,True,True,16.82,1,263313888920
B074W7M494,,True,False,,0,263313888987
B012P31QH0,$7.96,True,True,11.32,1,263313889228
B00N2HQXDG,$9.38,True,True,13.27,1,263313889907
B000COU7LG,$11.03,True,True,15.51,1,263313890046
B004VRMR86,$7.89,True,True,11.23,1,263313890072
B007TXJKES,$7.84,True,True,11.16,1,263313890240
B00Y443KJQ,$12.99,True,True,18.18,1,263313890495
B00PSF8YIM,$11.95,True,True,16.76,1,263313890517
B004MYOINU,$12.99,True,True,18.18,1,263313890724
B00HY83XP0,$5.99,True,True,8.63,1,263313891904
B00P8X1TC2,$7.95,True,True,11.31,1,263314047218
B009XS1GJE,$11.09,True,True,15.59,1,263314050889
B002QB1AZU,$17.47,True,True,24.3,1,263314052573
B006LYHEEY,$11.56,True,True,16.23,1,263314053946
B071VLQLRY,$13.99,True,True,19.55,1,263314054213
B072HT5T7D,,True,False,,0,263314055741
B01MY6VVWU,$9.49,True,True,13.41,1,263315755020
B001W2CJX6,$71.00,True,True,97.33,1,263315755317
B0095M4FMS,$5.45,True,True,7.9,1,263315755480
B01MSYBJ8J,$7.95,True,True,11.31,1,263315755581
B000LC844Q,$4.38,True,True,6.58,1,263315756654
B075TWH1SF,$4.99,True,True,7.27,1,263315756865
B00PSGOR8M,$10.75,True,True,15.13,1,263315757170
B001M5TN46,,True,False,,0,263315757200
B00009V2YO,$39.03,True,True,53.71,1,263315757221
B001ID4ZY0,$10.50,True,True,14.79,1,263315757331
0470407654,$8.99,True,True,12.73,1,263315757384
B000FEUCRW,$59.95,True,True,82.26,1,263315757387
B000Q9API2,$6.46,True,True,9.27,1,263315757477
B01GJS2SZG,,True,False,,0,263315757986
B001JT5TQQ,$9.23,True,True,13.05,1,263315758041
B00IL6LFPE,$14.62,True,True,20.41,1,263315758377
B01N4LBQ9K,$10.90,True,True,15.33,1,263315758470
B0034M3EYA,,True,False,,0,263315758596
B000E22D6I,$5.75,True,True,8.31,1,263315758745
B00QR3LOO0,,True,False,,0,263315759219
B009HJOE3O,$9.02,True,True,12.77,1,263315759629
B00290LPDU,$5.00,True,True,7.28,1,263315817632
B075KS7GN7,$4.49,True,True,6.7,1,263315818378
B003HKK550,$5.32,True,True,7.72,1,263315818379
B012KE88ZC,$12.98,True,True,18.17,1,263315818573
1594859450,$7.98,True,True,11.35,1,263315818994
B000BSDU4Y,$16.10,True,True,22.44,1,263315819518
B0013CKLIU,$13.31,True,True,18.62,1,263315819842
B074J462FH,$15.99,True,True,22.28,1,263315819860
B001F8SBNO,$25.48,True,True,35.23,1,263315820466
B001DSXFT6,$28.95,True,True,39.96,1,263315828127
B000GARYYY,$7.60,True,True,10.83,1,263315830559
B019QGHMK4,,True,False,,0,263315831253
B01EMKLKZM,$11.49,True,True,16.14,1,263315832498
B000P3L34O,$6.99,True,True,10.0,1,263315833595
B01N39UGYH,$13.20,True,True,18.47,1,263316326058
B071D58ZY5,$89.99,True,True,123.24,1,263319138681
B00895ICIK,$118.99,True,True,162.81,1,263319139611
B00FBMJK9Y,$49.95,True,True,68.61,1,263323816122
B06W54K29J,$159.99,True,True,218.75,1,263323816587
B00BWYO1HG,$55.89,True,True,76.72,1,263323818990
B00BWYO3EM,$146.57,True,True,200.44,1,263323819151
B01LCX9QWG,$156.99,True,True,214.66,1,263323824942
B00Q1RG6IQ,$15.95,True,True,22.22,1,263324330803
B00GICBJU4,,True,False,,0,263324332602
B005R3S0GQ,$68.90,True,True,94.48,1,263324844707
B01LTIAU5Q,,True,False,,0,263324844795
B01N8Q5ZYF,$15.59,True,True,21.73,1,263324844863
B01MYGUSUD,$16.95,True,True,23.59,1,263324845366
B01NBYJ88F,$9.45,True,True,13.35,1,263324845690
B00EYZY5TY,$16.75,True,True,23.31,1,263324845898
B00TB74CU2,$10.67,True,True,15.02,1,263324846070
B0032GEF3M,$8.00,True,True,11.38,1,263324846527
B00S3S7XZG,$12.70,True,True,17.79,1,263324846571
B01N8YW1EU,$11.26,True,True,15.82,1,263324846721
B00194Q7BC,$32.00,True,True,44.12,1,263324846828
B0718WN37L,$38.86,True,True,53.48,1,263324847396
B01MFDBP33,$27.88,True,True,38.5,1,263324847607
B073XNW89M,$8.99,True,True,12.73,1,263324847650
B00GWG63OS,$19.49,True,True,27.05,1,263324849550
B01LY9Y7PL,$33.99,True,True,46.84,1,263324849705
B073SYJ46G,,True,False,,0,263324850965
B0741FX68F,$16.95,True,True,23.59,1,263324852034
B06XH5VVXG,$12.88,True,True,18.03,1,263325533252
B0747G31KF,$19.68,True,False,,0,263325533812
B00D98XPOI,$17.29,True,True,24.05,1,263325535427
B01IHZWIPY,,,,,0,263325538379
B06XJBBBPN,$12.97,True,True,18.16,1,263325538458
B01MTVKUOW,$53.99,True,True,74.12,1,263325538474
B01EK5HED6,$17.99,True,True,25.01,1,263325538780
B00WIPQY5A,$19.95,True,True,27.68,1,263325539348
B00U2WMWDO,$22.95,True,True,31.77,1,263325540197
B01E4YD306,$29.88,True,True,41.23,1,263325540380
B00G2FZH4G,$14.96,True,True,20.87,1,263325541162
B00XBNB0IY,$18.28,True,True,25.4,1,263325541455
B00068JBIS,$8.80,True,True,12.48,1,263325544858
B01IJTF8CI,$15.44,True,True,21.53,1,263325545816
B00QKGAOSQ,$17.97,True,True,24.98,1,263325546556
B0728C4YQM,$11.04,True,True,15.52,1,263326856969
B0002SQYT6,$6.42,True,True,9.22,1,263328006522
B000G72U0K,$3.37,True,True,5.43,1,263328006523
B000BODTS0,$5.14,True,True,7.47,1,263328007868
B000AMGYNA,$6.67,True,True,9.56,1,263328008549
B000BQYH6Q,$5.67,True,True,8.2,1,263328008586
B01MU7YV51,$7.99,True,True,11.36,1,263330244467
B01MG25VN1,$10.97,True,True,15.43,1,263330259298
B00U3G5BC8,$7.99,True,True,11.36,1,263330301147
B00H2BXJBC,$13.60,True,True,19.02,1,263330302434
B074PKZ7V6,$9.99,True,True,14.09,1,263330302693
B01G42IP4K,,True,False,,0,263330302705
B011LVDNC8,$4.95,True,True,7.23,1,263330302916
B06Y6LDF3F,$7.49,True,True,10.68,1,263330303096
B01IEZDW20,$9.99,True,True,14.09,1,263330303098
B075RWC9JN,$7.99,True,True,11.36,1,263330303543
B073FXGD3B,$4.99,True,True,7.27,1,263330304899
B06Y2M6K51,$7.25,True,True,10.35,1,263330305887
B06XSC36DX,$8.99,True,True,12.73,1,263333412529
B004YLJX7W,$6.99,True,True,10.0,1,263333414608
B01DU1L66C,,True,False,,0,263333416664
B002L6RB80,$5.08,True,True,7.39,1,263333417744
B00THMIFC2,$14.71,True,True,20.53,1,263333418050
B001AFB6YI,$5.38,True,True,7.8,1,263333418072
B073PWH52Y,$16.94,True,True,23.59,1,263333418346
B01EFJ75OU,$15.99,True,True,22.28,1,263333419158
B06XRV44K6,$7.99,True,True,11.36,1,263333419423
B06Y13HYJ5,$7.99,True,True,11.36,1,263333419570
B01NCVZRTH,,True,False,,0,263333419876
B01BJPL27O,$12.95,True,True,18.13,1,263333420246
B01N1Z2SU2,,True,False,,0,263333420456
B00SGHLOLS,,True,False,,0,263333420888
B01N1PZGNF,$14.95,True,True,20.86,1,263333421457
B073QX3FSY,$15.98,True,True,22.26,1,263343646506
B001KXZ808,$24.95,True,True,34.5,1,263345151052
B013X0NQT0,$19.99,True,True,27.73,1,263345151373
B00FJILVDS,$24.99,True,True,34.56,1,263345151706
B00B4FY8YO,$14.99,True,True,20.91,1,263345151728
B00A9MNZBK,$9.00,True,False,,0,263345151730
B00837ZGRY,$15.99,True,True,22.28,1,263345151735
B074N265TY,$98.99,True,True,135.52,1,263345151911
B073FB5TPC,$26.90,True,True,37.16,1,263345152116
B01M2UJAT5,$38.56,True,True,53.07,1,263345152195
B01M3MYIFS,$11.99,True,True,16.82,1,263345152538
B011K4KH4I,$18.99,True,True,26.37,1,263345152695
B0713YJP5Z,$22.79,True,True,31.55,1,263345152765
B01BPJZZV8,,True,False,,0,263345152949
B01HI1W1V4,$19.99,True,True,27.73,1,263345152983
B001LFIDCU,,True,False,,0,263345153007
B00UZKZJZG,$13.97,True,True,19.52,1,263345153043
B00NWGZ4XC,$26.99,True,True,37.29,1,263345154355
B01N9QW620,$9.45,True,True,13.35,1,263345154605
B00ZYLQZEK,$30.99,True,True,42.74,1,263346779724
B000EH4UXM,$3.83,True,True,5.95,1,263350255978
B000CINB38,$5.26,True,True,7.64,1,263354198707
B000LF03QU,$12.18,True,True,17.08,1,263354198898
B0000AXRH5,$4.22,True,True,6.39,1,263354198969
B000EH4UZA,$6.04,True,True,8.7,1,263354199370
B007M5QG9U,$4.25,True,True,6.43,1,263354199664
B000EH0OQY,$7.00,True,True,10.01,1,263354200216
B002XUQ2DO,$21.18,True,True,29.36,1,263359369043
B002FRM1DA,$356.77,True,True,487.24,1,263359369398
B00IMMF64S,$11.81,True,True,16.57,1,263372531318
B01551DV86,$16.49,True,True,22.96,1,263372531437
B01MQ035AE,$6.99,True,True,10.0,1,263372531445
B01NCJTSW7,$21.99,True,True,30.46,1,263372533718
B072DV3MM5,$7.99,True,True,11.36,1,263373719592
B06XHTX6MJ,$81.13,True,True,111.15,1,263373724620
B01N6GIXHL,$199.00,True,True,271.98,1,263373726379
B00B7E2EWK,,True,False,,0,263373726773
B00D8Y1YLE,$161.35,True,True,220.61,1,263373727360
B0000DK35C,$54.94,True,True,75.42,1,263373728089
B074H1ZBTF,$38.99,True,True,53.66,1,263373728119
B00OLBR0LG,$29.99,True,True,41.38,1,263373729088
B002QUZGV0,$39.74,True,True,54.68,1,263373729681
B000BOAB9K,$7.99,True,True,11.36,1,263374279752
B0000CBJKT,$14.48,True,True,20.22,1,263374374311
B00FLCBXN0,$18.49,True,True,25.69,1,263374376034
B0000AXRH1,$8.21,True,True,11.68,1,263377094201
B0000AXRH0,$6.08,True,True,8.76,1,263377094366
B0049MMS96,$10.67,True,True,15.02,1,263381118654
B0060HVFHO,$7.96,True,True,11.32,1,263385443988
B076MNTV22,$9.29,True,True,13.14,1,263385444278
B000FGIBY6,$11.58,True,True,16.26,1,263389445133
B003CTRZM2,,True,False,,0,263390906671
B0010O748Q,$5.15,True,True,7.49,1,263394057090
B003UCODIA,$11.77,True,True,16.52,1,263394057903
B0002BBYIE,$4.89,True,True,7.16,1,263394060947
B000OVPB9A,$3.62,True,True,5.71,1,263396679855
B0062PCMD0,$11.88,True,True,16.67,1,263396680086
B003T1U4VW,$7.89,True,True,11.23,1,263396680107
B000O5JOS0,$6.01,True,True,8.66,1,263396680153
B009RLG9LM,$11.93,True,True,16.74,1,263396680444
B005KLW4PS,$10.00,True,True,14.1,1,263396681399
B009NYUK86,$6.73,True,True,9.64,1,263396682303
B00R4EW5DA,$12.00,True,True,16.83,1,263396682896
B000TY190C,$5.68,True,True,8.21,1,263396683415
B001BQF1AQ,$5.46,True,True,7.91,1,263396684031
B001EPZ71C,$8.31,True,True,11.8,1,263401234697
B001BII2KU,$10.59,True,True,14.91,1,263401235059
B01LZ4RBMZ,$39.95,True,True,54.98,1,263401235189
B002LL9GRY,$4.47,True,True,6.68,1,263404300913
B002ZFUVRA,$5.04,True,True,7.34,1,263404300947
B008CO8DIM,$16.40,True,True,22.84,1,263404300995
B000CQE5HQ,$8.99,True,True,12.73,1,263404301142
B000SJCTBG,$9.99,True,True,14.09,1,263404301151
B005FMZDJQ,$6.38,True,True,9.16,1,263404301178
B001110K6Q,$7.80,True,True,11.1,1,263404301272
B000RB40US,$4.76,True,True,7.01,1,263404301457
B0019O501A,$18.99,True,True,26.37,1,263404301558
B00R4S2QAI,$8.52,True,True,12.08,1,263404301663
B000ST3K3W,$7.25,True,True,10.35,1,263404301683
B001HBY7SC,$9.97,True,True,14.08,1,263404301929
B0019N4VDE,$13.00,True,True,18.2,1,263404302343
B00M1X6WMO,,True,False,,0,263404302534
B001G6VPJM,$6.16,True,True,8.86,1,263404302550
B004LYRECI,$29.99,True,True,41.38,1,263404302551
B003OFEVE4,$6.97,True,True,9.97,1,263405473559
B001HBNBLG,$7.20,True,True,10.28,1,263411355117
B0078VAKUE,$6.09,True,True,8.77,1,263411355527
B009ASXM80,$30.40,True,True,41.94,1,263412158383
B0019N9ZPI,$7.72,True,True,10.99,1,263412158648
B001U9686K,$8.93,True,True,12.64,1,263416780041
B002Q8CDX6,$2.99,True,True,5.0,1,263416782115
B0014A11LC,$15.00,True,True,20.93,1,263420692116
B0020CMZPO,$4.99,True,True,7.27,1,263424609521
B0013TK2OQ,$14.16,True,True,19.78,1,263426147392
B008CO8JZE,$10.51,True,True,14.8,1,263426147512
B0013MZA86,$6.98,True,True,9.98,1,263428022386
B002W269W2,$7.15,True,True,10.22,1,263428023201
B00P112WDQ,$6.55,True,True,9.4,1,263428023339
B01K9L6USA,$193.00,True,True,263.79,1,263432417934
B076VBKWDC,$11.95,True,True,16.76,1,263432421240
B071JHFL89,$10.99,True,True,15.45,1,263432423499
B0001CUMXM,$7.73,True,True,11.01,1,263437394116
B01N0KVD4C,$14.95,True,True,20.86,1,263445983533
B073DKQL1S,$79.99,True,False,,0,263445984366
B01LXC2329,$9.99,True,True,14.09,1,263445985753
B01M1KJ0GB,$14.95,True,True,20.86,1,263445987294
B01DIXQI24,$36.99,True,True,50.93,1,263445988517
B01N07VKIK,$5.99,True,True,8.63,1,263445989303
B0002Q8TU0,$12.99,True,True,18.18,1,263446798412
B071V3CPZV,$8.99,True,True,12.73,1,263450698180
B072PCQ2LW,$8.99,True,True,12.73,1,263450699096
B000RB38X8,$8.93,True,True,12.64,1,263450699514
B01MFA3OFA,$7.69,True,True,10.95,1,263450699642
B0009OR94M,$6.12,True,True,8.81,1,263460848236
B00T85ANNW,$5.99,True,True,8.63,1,263460848902
B000GSLKIW,$17.85,True,True,24.83,1,263460849342
B0052025YM,$6.49,True,True,9.31,1,263463226177
B01CRYHNI8,$24.67,True,True,34.12,1,263463226211
B000SKV4U2,$49.95,True,True,68.61,1,263463226409
B004X70LZA,$4.58,True,True,6.8,1,263466568959
B071GDN6SB,$29.99,True,True,41.38,1,263484511204
B00O5OANYK,$24.95,True,False,,0,263484511937
B0772MTRSH,$29.99,True,True,41.38,1,263484513797
B01MYQF5QP,$12.69,True,True,17.77,1,263486630933
B00YG9G5IC,$11.99,True,True,16.82,1,263495603629
B0051I5BTQ,,True,False,,0,263499910967
B0007XQXCE,$3.71,True,True,5.82,1,263504073486
B003B0M52W,$35.99,True,True,49.56,1,263504073733
B076KF2CQM,$9.39,True,True,13.27,1,263510391487
B001EWN72Q,$56.00,True,True,76.87,1,263510393080
B019MQLNPI,$9.99,True,True,14.09,1,263510393479
B003ZSD5EC,$128.00,True,True,175.1,1,263513043638
B00FRDPOVU,$14.89,True,True,20.78,1,263513380652
B019XHYV50,$23.95,True,True,33.14,1,263517165935
B014K2ZX6E,$14.99,True,True,20.91,1,263517166297
B01EPVW372,$10.45,True,True,14.72,1,263517168861
B01A4QNRCC,$12.77,True,True,17.88,1,263518780310
B013XKP3TG,$17.85,True,True,24.83,1,263520874274
B00YCPY87U,$18.98,True,True,26.36,1,263520877438
B0018N4P54,$4.47,True,True,6.68,1,263525009269
B00889ZG0E,$1.35,True,True,3.13,1,263525010108
B0018N6IRM,$9.74,True,True,13.75,1,263525011572
B078RL23QF,$14.99,True,True,20.91,1,263531748968
B01NALN8Q9,$9.99,True,True,14.09,1,263539926535
B0037W4MOS,$33.81,True,True,46.59,1,263543335202
B074GHJ96Q,$14.95,True,True,20.86,1,263543336671
B071WLS26T,$11.99,True,True,16.82,1,263551372424
B06W2M15FR,,True,False,,0,263551372551
B01I9I1Z9E,,True,False,,0,263551372943
B01M020KO1,$19.98,True,True,27.72,1,263551373495
B01MU7LEZD,$12.99,True,True,18.18,1,263551373531
B073RK2M2Y,$11.94,True,True,16.75,1,263551373639
B06X92QPZG,$29.99,True,True,41.38,1,263551374100
B078MQ3YHG,$13.99,True,True,19.55,1,263551374522
B00C9O34MG,$22.75,True,True,31.5,1,263551375537
B06XBDNB1F,$15.99,True,True,22.28,1,263551376076
B073GTM62X,$15.99,True,True,22.28,1,263551378871
B00VFLEE82,$21.99,True,True,30.46,1,263551381425
B079FMQFMS,$28.36,True,True,39.15,1,263551382179
B06XCSFFZF,$24.73,True,True,34.2,1,263551383484
B075DWHRJD,$14.99,True,True,20.91,1,263551383535
B074P4ZBC1,$27.95,True,True,38.6,1,263551386297
B07933JWXJ,$23.88,True,True,33.04,1,263551387091
B0792QHFJX,$29.96,True,True,41.34,1,263551389597
B07435FLFT,$32.99,True,True,45.47,1,263551392671
B0744BHQ5L,$40.97,True,True,56.36,1,263552272004
B0762MK71F,$49.99,True,True,68.67,1,263552276927
B077XTJBXV,$17.79,True,True,24.73,1,263555105973
B074MCBG25,$52.84,True,True,72.56,1,263556193351
B01B37WUXI,$19.95,True,True,27.68,1,263556193391
B001W8S4M0,$99.99,True,True,136.89,1,263556193759
B06XTWZ857,$29.99,True,True,41.38,1,263556193826
B00L36K7EE,$42.99,True,True,59.12,1,263556194276
B06X9CZSC7,$7.99,True,True,11.36,1,263562016909
B06XHHRQ3W,$10.99,True,True,15.45,1,263562016933
B07B46TFP1,$6.99,True,True,10.0,1,263562016958
B0786GSL5C,,,,,0,263562019458
B0112X6DRM,$10.99,True,True,15.45,1,263562020633
B073WG1TH1,$8.14,True,True,11.57,1,263562021921
B078H7Y9TC,$12.69,True,True,17.77,1,263562022330
B013I0HVEG,$7.99,True,True,11.36,1,263562022484
B0112X4DF6,$15.99,True,True,22.28,1,263562024142
B0743DZJ83,$9.99,True,True,14.09,1,263562024926
B078SQLM56,$13.15,True,True,18.4,1,263562025484
B01LZXGBZR,$12.95,True,True,18.13,1,263562025631
B00YTCWLZC,$15.99,True,True,22.28,1,263562027485
B076BMVZ8R,$7.99,True,True,11.36,1,263568424116
B06WVSWW7B,$9.99,True,True,14.09,1,263568425636
B06XHHYGF6,$8.99,True,True,12.73,1,263568426298
B0093RRSXS,$5.55,True,True,8.03,1,263570154111
B01M16NH4W,$6.99,True,True,10.0,1,263570154294
B000NE7TJ8,$6.55,True,True,9.4,1,263570154584
B000NC0SA2,$5.98,True,True,8.62,1,263570154729
B01D1FVF5O,$4.81,True,True,7.07,1,263580366249
B076H7VQJR,$8.69,True,True,12.32,1,263584026275
B012SUEPB4,$6.50,True,True,9.33,1,263584026667
B00XP5KGYM,$6.49,True,True,9.31,1,263585783410
B0040D2TGG,$5.99,True,True,8.63,1,263585791618
B0002SRCMO,$7.19,True,True,10.27,1,263585794323
B017ARRPTO,$8.35,True,True,11.85,1,263589674492
B06XTZ7PSF,$20.99,True,True,29.1,1,263589677018
B01B1655R4,$5.09,True,True,7.4,1,263590782582
B00NQBB1DU,$7.86,True,True,11.18,1,263615548175
B001GMTKOS,$11.87,True,False,,0,263624287004
B0006U55VS,$6.49,True,True,9.31,1,263646403146
B06XWPFKXZ,$10.00,True,True,14.1,1,263646403149
B079K3VTX1,$50.00,True,True,68.68,1,263646403450
B01EJKA4MK,,,,,0,263646404065
B0711T46VJ,$9.99,True,True,14.09,1,263646404178
B01LCE19OI,,True,False,,0,263646404523
B077BT6M6Z,$89.99,True,True,123.24,1,263646405062
B0757KRPB2,$29.99,True,True,41.38,1,263646405068
B078ZW47N6,$49.27,True,True,67.68,1,263646406046
B01MA5WYZR,$178.95,True,True,244.62,1,263646406109
B07332KPN2,$51.99,True,True,71.4,1,263646408072
B06VST99ZT,$69.99,True,True,95.95,1,263646408155
B076FSTQZ3,$5.99,True,True,8.63,1,263646408236
B07688V7V9,$19.99,True,True,27.73,1,263646408337
B076GY87RP,$19.99,True,True,27.73,1,263646408377
B075CJZ9F2,$19.99,True,True,27.73,1,263646408428
B06XWZ25J4,$40.00,True,True,55.04,1,263646408535
B06X6GPT48,$19.99,True,True,27.73,1,263646408588
B076GWT8H1,$19.99,True,True,27.73,1,263646408692
B075CJXT9N,$19.99,True,True,27.73,1,263646408807
B076BP2M3S,,True,False,,0,263646410314
B00MMQR9V8,$8.99,True,True,12.73,1,263655453057
B00MMQRIL4,$7.99,True,True,11.36,1,263655454263
B00MMQRF6M,$8.99,True,True,12.73,1,263655454801
B00MMQRLUM,$7.99,True,True,11.36,1,263655455490
